Transaction_ID,Platform,Product_Category,Product_Name,Advertised_Price,Actual_Market_Price,Payment_Method,Customer_Age,Customer_Region,label_logo,label_brand,label_qr,Scam_Flag
C1027,TrendyMart,Clothing,Nike T-Shirt,121,431,Crypto,56,US,0,0,1,1
C1028,TrendyMart,Clothing,H&M Sweater,237,252,PayPal,60,Africa,0,0,0,0
C1029,InstaStore,Clothing,H&M Sweater,99,381,Credit Card,22,Africa,0,1,0,1
C1030,FakeShop,Clothing,Versace Pants,136,433,Credit Card,18,Asia,0,1,1,1
C1031,SocialMediaAd,Clothing,Burberry Coat,62,267,Debit Card,39,Asia,0,0,0,1
C1032,StyleZone,Clothing,Puma Jacket,272,292,Credit Card,52,Europe,0,0,0,0
C1033,SocialMediaAd,Clothing,Versace Pants,398,445,PayPal,44,Europe,0,0,0,0
C1034,FakeShop,Clothing,Levi's Jeans,431,487,PayPal,44,US,0,0,0,0
C1035,CheapStore,Clothing,Burberry Coat,260,494,Debit Card,21,US,0,1,0,1
C1036,SocialMediaAd,Clothing,Designer Dress,66,205,Credit Card,52,US,1,0,0,1
C1037,TrendyMart,Clothing,Adidas Hoodie,82,243,Credit Card,22,US,0,0,0,1
C1038,CheapStore,Clothing,H&M Sweater,45,200,Crypto,18,Asia,0,1,0,1
C1039,CheapStore,Clothing,Puma Jacket,207,235,PayPal,31,US,0,0,0,0
C1040,FakeShop,Clothing,Gucci T-Shirt,275,344,PayPal,34,US,0,0,0,0
C1041,QuickBuy,Clothing,Adidas Hoodie,404,434,PayPal,27,Europe,0,0,0,0
C1042,QuickBuy,Clothing,Puma Jacket,181,179,Crypto,21,Africa,1,1,0,1
C1043,FakeShop,Clothing,Burberry Coat,196,449,Crypto,28,Asia,1,1,0,1
C1044,StyleZone,Clothing,Levi's Jeans,199,245,Debit Card,61,Europe,0,0,0,0
C1045,InstaStore,Clothing,Levi's Jeans,374,441,Crypto,20,Asia,0,0,0,0
C1046,InstaStore,Clothing,Versace Pants,202,439,UPI,31,Africa,0,1,0,1
C1047,TrendyMart,Clothing,Zara Shirt,93,352,UPI,47,Africa,0,0,0,1
C1048,CheapStore,Clothing,Levi's Jeans,137,154,Crypto,24,Asia,0,0,0,0
C1049,StyleZone,Clothing,Puma Jacket,136,409,UPI,22,Europe,0,0,1,1
C1050,QuickBuy,Clothing,Zara Shirt,227,230,Crypto,63,Africa,0,1,0,1
C1051,StyleZone,Clothing,H&M Sweater,82,154,Crypto,37,Asia,0,1,0,1
C1052,TrendyMart,Clothing,Zara Shirt,134,209,Crypto,27,Africa,0,1,1,1
C1053,QuickBuy,Clothing,Versace Pants,242,257,Credit Card,61,Africa,0,0,0,0
C1054,StyleZone,Clothing,Nike T-Shirt,300,278,Debit Card,23,US,1,1,0,1
C1055,CheapStore,Clothing,Zara Shirt,154,172,Credit Card,58,Africa,0,0,0,1
C1056,TrendyMart,Clothing,Nike T-Shirt,406,432,Crypto,18,Asia,0,0,0,0
C1057,FakeShop,Clothing,Gucci T-Shirt,346,429,UPI,55,Europe,1,0,0,0
C1058,InstaStore,Clothing,Gucci T-Shirt,147,171,Debit Card,40,Europe,0,0,0,0
C1059,SocialMediaAd,Clothing,Puma Jacket,123,491,Crypto,44,Europe,1,1,1,1
C1060,TrendyMart,Clothing,Gucci T-Shirt,234,240,Debit Card,29,Africa,0,0,0,0
C1061,CheapStore,Clothing,Adidas Hoodie,478,492,Credit Card,35,Europe,0,0,0,0
C1062,CheapStore,Clothing,Levi's Jeans,219,345,PayPal,32,Europe,0,0,0,1
C1063,CheapStore,Clothing,Nike T-Shirt,116,329,Credit Card,32,Asia,0,0,0,1
C1064,SocialMediaAd,Clothing,Puma Jacket,341,354,Debit Card,35,Africa,0,0,0,1
C1065,SocialMediaAd,Clothing,H&M Sweater,331,354,Crypto,39,Asia,0,0,0,0
C1066,FakeShop,Clothing,Zara Shirt,118,241,UPI,20,Asia,0,1,0,1
C1067,StyleZone,Clothing,Adidas Hoodie,308,326,UPI,45,Asia,0,0,0,0
C1068,InstaStore,Clothing,Versace Pants,80,247,PayPal,18,Europe,0,0,1,1
C1069,QuickBuy,Clothing,Adidas Hoodie,183,185,UPI,57,Africa,0,0,0,0
C1070,SocialMediaAd,Clothing,Levi's Jeans,137,303,PayPal,38,US,0,1,0,1
C1071,SocialMediaAd,Clothing,Zara Shirt,400,433,PayPal,60,US,1,0,0,1
C1072,SocialMediaAd,Clothing,Gucci T-Shirt,225,465,PayPal,53,Asia,0,1,0,1
C1073,QuickBuy,Clothing,Zara Shirt,106,257,Crypto,56,Africa,0,1,0,1
C1074,InstaStore,Clothing,Nike T-Shirt,202,376,Crypto,48,Europe,0,0,0,1
C1075,SocialMediaAd,Clothing,Levi's Jeans,135,295,Crypto,39,Asia,0,1,0,1
C1076,CheapStore,Clothing,Puma Jacket,175,494,Credit Card,27,Asia,0,1,0,1
C1077,FakeShop,Clothing,Puma Jacket,198,393,Debit Card,47,US,0,0,0,1
C1078,SocialMediaAd,Clothing,Versace Pants,234,249,PayPal,49,US,0,0,0,0
C1079,TrendyMart,Clothing,Gucci T-Shirt,263,485,Debit Card,45,Europe,1,0,1,1
C1080,TrendyMart,Clothing,H&M Sweater,313,387,Credit Card,25,US,0,0,0,0
C1081,TrendyMart,Clothing,Nike T-Shirt,228,491,Crypto,56,Africa,0,0,0,1
C1082,CheapStore,Clothing,Nike T-Shirt,445,463,Crypto,45,US,0,0,0,0
C1083,TrendyMart,Clothing,Nike T-Shirt,125,380,Credit Card,58,Africa,0,1,0,1
C1084,CheapStore,Clothing,H&M Sweater,368,398,UPI,46,Asia,0,0,0,0
C1085,SocialMediaAd,Clothing,Zara Shirt,230,270,UPI,52,Asia,1,0,0,0
C1086,TrendyMart,Clothing,Gucci T-Shirt,234,268,Credit Card,63,Europe,0,1,0,0
C1087,FakeShop,Clothing,Adidas Hoodie,130,358,PayPal,44,Asia,1,0,1,1
C1088,TrendyMart,Clothing,Adidas Hoodie,377,349,Crypto,62,Asia,0,1,0,1
C1089,CheapStore,Clothing,Versace Pants,342,344,UPI,37,US,0,0,1,1
C1090,CheapStore,Clothing,Adidas Hoodie,403,425,Crypto,56,Europe,0,0,0,0
C1091,InstaStore,Clothing,Puma Jacket,120,289,Debit Card,42,Africa,0,1,0,1
C1092,SocialMediaAd,Clothing,Adidas Hoodie,226,234,Credit Card,57,Asia,0,0,0,0
C1093,InstaStore,Clothing,Versace Pants,232,438,Debit Card,59,US,1,0,0,1
C1094,TrendyMart,Clothing,Nike T-Shirt,54,243,PayPal,38,Europe,0,0,0,1
C1095,InstaStore,Clothing,Designer Dress,306,322,PayPal,35,US,0,0,0,0
C1096,QuickBuy,Clothing,Levi's Jeans,81,390,Crypto,21,Africa,1,0,0,1
C1097,TrendyMart,Clothing,Levi's Jeans,390,483,Debit Card,33,Europe,0,1,0,0
C1098,CheapStore,Clothing,Burberry Coat,129,468,Credit Card,48,Asia,1,0,0,1
C1099,StyleZone,Clothing,Puma Jacket,364,388,UPI,28,Asia,0,0,0,0
C1100,CheapStore,Clothing,Gucci T-Shirt,78,309,Debit Card,37,US,0,0,0,1
C1101,InstaStore,Clothing,Puma Jacket,172,188,Credit Card,24,Africa,0,1,0,0
C1102,CheapStore,Clothing,Versace Pants,223,211,Crypto,20,Africa,0,1,0,1
C1103,StyleZone,Clothing,Adidas Hoodie,426,488,Crypto,59,Africa,0,0,0,0
C1104,FakeShop,Clothing,Adidas Hoodie,328,400,UPI,58,US,0,0,1,0
C1105,SocialMediaAd,Clothing,Gucci T-Shirt,107,372,Crypto,59,Africa,0,0,0,1
C1106,StyleZone,Clothing,H&M Sweater,394,397,Crypto,35,Africa,0,0,1,1
C1107,CheapStore,Clothing,Puma Jacket,166,194,PayPal,33,US,0,0,0,0
C1108,StyleZone,Clothing,Versace Pants,191,492,Debit Card,49,Africa,0,0,0,1
C1109,TrendyMart,Clothing,Nike T-Shirt,224,258,UPI,39,Africa,1,0,0,0
C1110,StyleZone,Clothing,Zara Shirt,391,434,Credit Card,23,Europe,0,0,1,1
C1111,SocialMediaAd,Clothing,Adidas Hoodie,364,400,Credit Card,62,US,0,0,0,0
C1112,SocialMediaAd,Clothing,Nike T-Shirt,401,379,Debit Card,36,Europe,1,0,0,1
C1113,InstaStore,Clothing,Puma Jacket,316,306,UPI,48,Africa,1,0,0,1
C1114,InstaStore,Clothing,H&M Sweater,309,319,PayPal,35,Africa,1,1,0,1
C1115,QuickBuy,Clothing,Puma Jacket,118,211,UPI,25,Europe,0,1,1,1
C1116,TrendyMart,Clothing,Puma Jacket,339,397,Crypto,51,Africa,1,0,0,0
C1117,FakeShop,Clothing,Puma Jacket,254,301,Credit Card,37,Asia,0,0,0,0
C1118,SocialMediaAd,Clothing,H&M Sweater,204,214,Debit Card,53,Africa,0,0,0,1
C1119,SocialMediaAd,Clothing,Gucci T-Shirt,463,476,PayPal,24,Asia,0,0,0,0
C1120,StyleZone,Clothing,Zara Shirt,171,390,UPI,29,Asia,0,1,0,1
C1121,QuickBuy,Clothing,Nike T-Shirt,221,208,PayPal,49,Asia,0,0,0,1
C1122,StyleZone,Clothing,Burberry Coat,188,227,Crypto,37,Asia,0,0,0,0
C1123,TrendyMart,Clothing,Levi's Jeans,253,435,Crypto,56,Europe,0,0,0,1
C1124,CheapStore,Clothing,H&M Sweater,340,344,PayPal,37,US,0,0,0,1
C1125,QuickBuy,Clothing,Versace Pants,107,467,Debit Card,31,Europe,1,1,0,1
C1126,QuickBuy,Clothing,Levi's Jeans,195,230,Crypto,22,Europe,0,0,0,0
C1127,FakeShop,Clothing,Adidas Hoodie,356,380,PayPal,36,Asia,0,0,0,0
C1128,TrendyMart,Clothing,Zara Shirt,162,294,PayPal,22,Europe,0,0,0,1
C1129,QuickBuy,Clothing,Versace Pants,293,488,Credit Card,45,Asia,0,0,1,1
C1130,StyleZone,Clothing,Puma Jacket,132,481,UPI,27,Asia,0,0,0,1
C1131,FakeShop,Clothing,Gucci T-Shirt,152,307,Crypto,36,US,0,0,0,1
C1132,FakeShop,Clothing,Nike T-Shirt,167,305,UPI,50,US,0,0,0,1
C1133,InstaStore,Clothing,Levi's Jeans,100,456,PayPal,65,Africa,0,0,1,1
C1134,StyleZone,Clothing,Zara Shirt,133,163,Crypto,55,Asia,0,0,0,0
C1135,CheapStore,Clothing,Zara Shirt,359,445,Credit Card,48,US,0,0,0,0
C1136,QuickBuy,Clothing,Gucci T-Shirt,187,449,PayPal,23,US,0,0,0,1
C1137,QuickBuy,Clothing,Adidas Hoodie,115,320,Debit Card,28,Africa,1,1,0,1
C1138,InstaStore,Clothing,Nike T-Shirt,157,297,PayPal,53,Asia,0,0,0,1
C1139,InstaStore,Clothing,Levi's Jeans,101,311,Debit Card,43,Asia,0,0,0,1
C1140,SocialMediaAd,Clothing,H&M Sweater,156,386,Credit Card,51,Africa,1,0,0,1
C1141,StyleZone,Clothing,Nike T-Shirt,417,470,Debit Card,31,Africa,0,0,0,0
C1142,StyleZone,Clothing,Gucci T-Shirt,124,297,PayPal,25,Asia,0,0,0,1
C1143,SocialMediaAd,Clothing,Versace Pants,150,272,UPI,53,Asia,0,0,1,1
C1144,StyleZone,Clothing,Adidas Hoodie,166,197,Debit Card,47,Asia,0,0,0,0
C1145,SocialMediaAd,Clothing,Gucci T-Shirt,269,405,UPI,50,Africa,0,0,0,1
C1146,InstaStore,Clothing,Nike T-Shirt,331,391,Crypto,27,US,0,0,0,0
C1147,TrendyMart,Clothing,Versace Pants,389,410,Credit Card,22,Africa,0,0,1,0
C1148,CheapStore,Clothing,Adidas Hoodie,319,324,Crypto,35,Asia,0,0,0,0
C1149,QuickBuy,Clothing,Zara Shirt,412,450,PayPal,27,US,0,0,0,0
C1150,StyleZone,Clothing,Nike T-Shirt,119,326,Crypto,42,US,0,0,0,1
C1151,QuickBuy,Clothing,Puma Jacket,132,272,Credit Card,44,Asia,0,1,0,1
C1152,QuickBuy,Clothing,Nike T-Shirt,135,345,Credit Card,49,Asia,0,0,0,1
C1153,TrendyMart,Clothing,H&M Sweater,165,452,Debit Card,46,Asia,0,1,0,1
C1154,StyleZone,Clothing,Nike T-Shirt,148,157,PayPal,59,Europe,0,0,0,0
C1155,FakeShop,Clothing,Nike T-Shirt,105,285,PayPal,59,Asia,0,0,1,1
C1156,CheapStore,Clothing,Designer Dress,481,495,PayPal,38,US,1,0,0,0
C1157,CheapStore,Clothing,H&M Sweater,155,168,Credit Card,58,Africa,0,0,0,0
C1158,TrendyMart,Clothing,Levi's Jeans,407,372,Debit Card,46,Europe,0,1,0,1
C1159,SocialMediaAd,Clothing,Zara Shirt,36,164,Debit Card,36,Africa,1,1,0,1
C1160,QuickBuy,Clothing,Adidas Hoodie,212,224,PayPal,54,Europe,0,1,0,1
C1161,TrendyMart,Clothing,Gucci T-Shirt,95,190,PayPal,57,Europe,0,1,0,1
C1162,InstaStore,Clothing,Versace Pants,211,223,UPI,47,Africa,0,0,1,1
C1163,SocialMediaAd,Clothing,Burberry Coat,380,388,Crypto,28,Asia,0,1,0,0
C1164,InstaStore,Clothing,Designer Dress,157,450,PayPal,62,Africa,1,1,0,1
C1165,InstaStore,Clothing,Zara Shirt,250,251,PayPal,24,Europe,0,0,0,0
C1166,InstaStore,Clothing,Versace Pants,162,333,UPI,19,US,0,0,0,1
C1167,QuickBuy,Clothing,Burberry Coat,427,439,Debit Card,56,US,0,0,0,0
C1168,CheapStore,Clothing,Zara Shirt,246,267,UPI,32,Europe,0,0,0,0
C1169,StyleZone,Clothing,Zara Shirt,287,497,Credit Card,58,Asia,1,1,0,1
C1170,SocialMediaAd,Clothing,Burberry Coat,294,308,Debit Card,55,Africa,0,0,0,0
C1171,SocialMediaAd,Clothing,Gucci T-Shirt,212,196,UPI,65,US,0,0,0,1
C1172,TrendyMart,Clothing,Puma Jacket,207,217,UPI,51,Africa,0,0,0,0
C1173,CheapStore,Clothing,Gucci T-Shirt,276,281,PayPal,36,Africa,0,0,0,0
C1174,CheapStore,Clothing,Levi's Jeans,265,389,Credit Card,32,US,1,1,0,1
C1175,CheapStore,Clothing,H&M Sweater,82,337,PayPal,18,Africa,0,1,1,1
C1176,StyleZone,Clothing,Levi's Jeans,333,382,UPI,55,US,0,0,1,0
C1177,CheapStore,Clothing,Designer Dress,191,205,PayPal,19,Africa,0,1,0,0
C1178,StyleZone,Clothing,Puma Jacket,111,481,PayPal,62,Africa,0,0,0,1
C1179,SocialMediaAd,Clothing,Adidas Hoodie,173,209,Debit Card,37,US,0,0,0,0
C1180,FakeShop,Clothing,Levi's Jeans,290,270,Credit Card,42,US,0,0,0,1
C1181,QuickBuy,Clothing,H&M Sweater,179,364,Credit Card,44,Asia,0,0,0,1
C1182,CheapStore,Clothing,Nike T-Shirt,187,465,UPI,20,Africa,1,0,0,1
C1183,TrendyMart,Clothing,Nike T-Shirt,373,377,UPI,24,Africa,0,0,0,0
C1184,StyleZone,Clothing,Designer Dress,159,181,Credit Card,25,US,0,0,0,0
C1185,FakeShop,Clothing,Puma Jacket,443,478,Debit Card,21,Africa,0,0,0,0
C1186,TrendyMart,Clothing,Gucci T-Shirt,369,439,Crypto,31,Europe,0,0,0,0
C1187,CheapStore,Clothing,Puma Jacket,186,318,Crypto,18,Africa,0,0,0,1
C1188,CheapStore,Clothing,Gucci T-Shirt,196,216,Credit Card,25,Asia,0,0,0,0
C1189,TrendyMart,Clothing,Burberry Coat,198,333,Credit Card,55,Africa,0,0,1,1
C1190,FakeShop,Clothing,Gucci T-Shirt,230,285,PayPal,51,Asia,0,0,0,0
C1191,SocialMediaAd,Clothing,Levi's Jeans,166,393,UPI,50,Asia,0,1,0,1
C1192,InstaStore,Clothing,H&M Sweater,176,263,Debit Card,64,Africa,0,1,0,1
C1193,InstaStore,Clothing,Burberry Coat,126,181,PayPal,45,Asia,0,1,0,1
C1194,InstaStore,Clothing,Nike T-Shirt,121,187,UPI,56,Europe,1,1,1,1
C1195,FakeShop,Clothing,Gucci T-Shirt,148,290,Crypto,53,Africa,0,0,1,1
C1196,InstaStore,Clothing,Versace Pants,146,421,Crypto,56,US,0,0,0,1
C1197,FakeShop,Clothing,Levi's Jeans,254,485,Crypto,64,Europe,1,1,0,1
C1198,InstaStore,Clothing,Nike T-Shirt,108,266,PayPal,43,US,0,0,0,1
C1199,SocialMediaAd,Clothing,Levi's Jeans,128,310,UPI,41,Europe,0,0,1,1
C1200,SocialMediaAd,Clothing,Nike T-Shirt,150,184,Debit Card,23,US,0,0,0,0
C1201,FakeShop,Clothing,Designer Dress,196,216,Crypto,53,Africa,0,0,0,0
C1202,SocialMediaAd,Clothing,Levi's Jeans,135,360,PayPal,64,Asia,0,0,0,1
C1203,QuickBuy,Clothing,Versace Pants,268,309,Crypto,50,Europe,1,0,0,0
C1204,TrendyMart,Clothing,Nike T-Shirt,164,264,UPI,53,Africa,1,0,0,1
C1205,FakeShop,Clothing,Zara Shirt,138,443,PayPal,53,Asia,0,1,0,1
C1206,StyleZone,Clothing,Zara Shirt,47,164,UPI,39,Africa,1,1,0,1
C1207,FakeShop,Clothing,Gucci T-Shirt,203,223,PayPal,22,Europe,0,0,0,0
C1208,SocialMediaAd,Clothing,Burberry Coat,112,196,Credit Card,42,US,0,0,0,1
C1209,InstaStore,Clothing,Designer Dress,201,230,UPI,54,Asia,0,0,0,0
C1210,FakeShop,Clothing,Gucci T-Shirt,132,230,Debit Card,61,Asia,0,1,0,1
C1211,QuickBuy,Clothing,Nike T-Shirt,201,488,Crypto,46,US,0,1,0,1
C1212,QuickBuy,Clothing,Puma Jacket,105,412,PayPal,25,Africa,0,0,0,1
C1213,SocialMediaAd,Clothing,Versace Pants,184,399,UPI,20,Europe,0,1,0,1
C1214,InstaStore,Clothing,Versace Pants,36,178,UPI,31,Europe,0,1,0,1
C1215,CheapStore,Clothing,Zara Shirt,287,298,Debit Card,49,US,1,1,0,1
C1216,TrendyMart,Clothing,Gucci T-Shirt,160,344,Credit Card,50,Africa,0,1,0,1
C1217,FakeShop,Clothing,Adidas Hoodie,151,171,PayPal,22,Africa,0,0,0,0
C1218,StyleZone,Clothing,Adidas Hoodie,390,443,PayPal,36,Asia,0,0,0,0
C1219,InstaStore,Clothing,Burberry Coat,263,316,Crypto,47,Africa,0,0,0,0
C1220,FakeShop,Clothing,Adidas Hoodie,193,204,Crypto,43,Asia,1,0,0,1
C1221,InstaStore,Clothing,Zara Shirt,272,323,Credit Card,22,Asia,0,0,0,0
C1222,StyleZone,Clothing,H&M Sweater,162,249,UPI,40,Europe,0,1,1,1
C1223,TrendyMart,Clothing,Levi's Jeans,190,224,Credit Card,56,Europe,0,0,0,0
C1224,CheapStore,Clothing,Levi's Jeans,261,240,PayPal,47,US,0,0,0,1
C1225,SocialMediaAd,Clothing,Versace Pants,247,479,Crypto,38,Africa,0,0,0,1
C1226,TrendyMart,Clothing,Nike T-Shirt,79,184,UPI,35,Asia,0,1,0,1
C1227,QuickBuy,Clothing,H&M Sweater,161,187,PayPal,20,Asia,0,0,0,0
C1228,QuickBuy,Clothing,Zara Shirt,194,189,Debit Card,57,US,0,1,0,1
C1229,InstaStore,Clothing,Versace Pants,429,433,Debit Card,46,Europe,0,1,0,0
C1230,QuickBuy,Clothing,Versace Pants,353,393,Debit Card,46,Asia,0,0,0,0
C1231,CheapStore,Clothing,Designer Dress,173,193,Credit Card,20,Europe,1,0,0,0
C1232,SocialMediaAd,Clothing,Nike T-Shirt,172,374,Crypto,28,Africa,0,0,0,1
C1233,QuickBuy,Clothing,Zara Shirt,140,348,UPI,61,Asia,0,0,0,1
C1234,CheapStore,Clothing,Designer Dress,158,183,Crypto,61,US,0,0,0,0
C1235,QuickBuy,Clothing,Zara Shirt,531,486,Crypto,27,Africa,1,0,0,1
C1236,FakeShop,Clothing,Versace Pants,405,489,UPI,37,US,0,0,0,0
C1237,TrendyMart,Clothing,Versace Pants,185,193,PayPal,59,Africa,0,1,0,1
C1238,CheapStore,Clothing,Gucci T-Shirt,463,493,Crypto,23,US,0,0,0,0
C1239,StyleZone,Clothing,Designer Dress,60,159,Credit Card,31,Africa,1,0,0,1
C1240,CheapStore,Clothing,Nike T-Shirt,209,248,Credit Card,27,Asia,0,1,1,0
C1241,QuickBuy,Clothing,Levi's Jeans,239,409,Crypto,20,Africa,1,1,0,1
C1242,CheapStore,Clothing,Versace Pants,199,217,Credit Card,28,Europe,0,0,0,0
C1243,CheapStore,Clothing,Versace Pants,131,234,Debit Card,44,Africa,0,1,0,1
C1244,SocialMediaAd,Clothing,Puma Jacket,385,377,PayPal,32,Europe,1,1,1,1
C1245,QuickBuy,Clothing,Nike T-Shirt,217,249,Crypto,46,US,0,0,0,0
C1246,CheapStore,Clothing,Zara Shirt,155,345,PayPal,28,Europe,1,0,0,1
C1247,CheapStore,Clothing,Versace Pants,140,220,Debit Card,59,US,0,1,0,1
C1248,CheapStore,Clothing,Designer Dress,288,433,Crypto,25,Africa,1,0,0,1
C1249,FakeShop,Clothing,Gucci T-Shirt,122,289,Crypto,27,US,1,1,0,1
C1250,FakeShop,Clothing,Puma Jacket,371,380,Debit Card,44,Asia,0,0,0,0
C1251,InstaStore,Clothing,H&M Sweater,288,341,Debit Card,41,Europe,0,0,0,0
C1252,FakeShop,Clothing,Designer Dress,213,200,UPI,27,Europe,1,0,1,1
C1253,FakeShop,Clothing,Zara Shirt,214,391,Credit Card,63,US,1,0,1,1
C1254,InstaStore,Clothing,Versace Pants,149,152,Debit Card,34,Europe,0,0,0,0
C1255,CheapStore,Clothing,Gucci T-Shirt,424,430,Crypto,51,US,1,0,0,0
C1256,FakeShop,Clothing,Zara Shirt,233,271,Debit Card,33,US,0,0,0,0
C1257,SocialMediaAd,Clothing,Versace Pants,312,384,PayPal,56,Asia,0,1,0,0
C1258,SocialMediaAd,Clothing,H&M Sweater,376,444,Credit Card,36,US,0,0,0,0
C1259,FakeShop,Clothing,Versace Pants,279,330,PayPal,29,Asia,0,0,0,0
C1260,StyleZone,Clothing,Designer Dress,124,184,Crypto,50,Asia,0,1,0,1
C1261,InstaStore,Clothing,Nike T-Shirt,159,172,UPI,34,Asia,1,1,0,0
C1262,QuickBuy,Clothing,Levi's Jeans,104,326,Debit Card,55,Africa,0,0,0,1
C1263,TrendyMart,Clothing,Burberry Coat,156,330,Credit Card,61,US,0,0,0,1
C1264,SocialMediaAd,Clothing,Nike T-Shirt,395,473,Credit Card,22,US,0,0,0,0
C1265,FakeShop,Clothing,Zara Shirt,204,253,Credit Card,20,Africa,0,0,0,0
C1266,QuickBuy,Clothing,H&M Sweater,352,353,Crypto,48,Africa,0,0,1,0
C1267,FakeShop,Clothing,Puma Jacket,112,296,Debit Card,59,Africa,1,0,0,1
C1268,QuickBuy,Clothing,Levi's Jeans,141,338,PayPal,65,US,1,0,1,1
C1269,InstaStore,Clothing,Designer Dress,109,245,PayPal,41,Africa,0,1,0,1
C1270,CheapStore,Clothing,Levi's Jeans,299,367,Crypto,29,Africa,0,1,0,0
C1271,QuickBuy,Clothing,Levi's Jeans,164,190,UPI,37,US,0,0,0,0
C1272,StyleZone,Clothing,Adidas Hoodie,220,235,UPI,46,Asia,0,0,0,0
C1273,SocialMediaAd,Clothing,Designer Dress,463,464,UPI,58,Asia,0,0,0,0
C1274,FakeShop,Clothing,Adidas Hoodie,153,336,Credit Card,19,Europe,0,0,0,1
C1275,CheapStore,Clothing,Versace Pants,293,497,Debit Card,26,Asia,0,0,0,1
C1276,TrendyMart,Clothing,Designer Dress,131,335,Crypto,20,Europe,0,0,0,1
C1277,SocialMediaAd,Clothing,Nike T-Shirt,130,339,Debit Card,54,Europe,0,1,1,1
C1278,StyleZone,Clothing,Designer Dress,304,353,UPI,33,Asia,0,0,0,0
C1279,FakeShop,Clothing,Gucci T-Shirt,406,405,Crypto,25,Africa,0,0,0,1
C1280,CheapStore,Clothing,Zara Shirt,318,378,Crypto,36,US,0,0,0,0
C1281,TrendyMart,Clothing,Levi's Jeans,137,219,PayPal,29,US,0,0,0,1
C1282,FakeShop,Clothing,Designer Dress,183,491,Debit Card,53,Africa,0,1,1,1
C1283,QuickBuy,Clothing,Gucci T-Shirt,136,476,UPI,50,Europe,0,1,0,1
C1284,FakeShop,Clothing,Puma Jacket,209,221,PayPal,19,Africa,0,0,0,1
C1285,StyleZone,Clothing,Versace Pants,301,338,Crypto,26,Asia,0,0,0,0
C1286,FakeShop,Clothing,Zara Shirt,352,353,PayPal,51,US,0,0,0,0
C1287,CheapStore,Clothing,Adidas Hoodie,361,444,UPI,59,Asia,0,0,0,0
C1288,InstaStore,Clothing,Nike T-Shirt,449,498,Credit Card,53,Europe,0,0,0,0
C1289,CheapStore,Clothing,Gucci T-Shirt,371,371,Debit Card,25,Europe,0,1,0,1
C1290,QuickBuy,Clothing,Gucci T-Shirt,83,232,Credit Card,40,Africa,0,0,0,1
C1291,CheapStore,Clothing,Levi's Jeans,233,278,Crypto,35,Europe,0,1,1,0
C1292,SocialMediaAd,Clothing,Zara Shirt,420,464,Crypto,59,Europe,0,0,0,0
C1293,StyleZone,Clothing,Versace Pants,65,228,Crypto,64,Africa,0,1,0,1
